item;a1;se_a1;a2;se_a2;a3;se_a3;a4;se_a4;MDISC;d;se_d;MDIFF
3;1,43;0,78;0,65;0,76;-0,34;0,64;0,66;0,74;1,74;4,23;0,82;-2,43
6;2,29;1,18;0,98;0,89;-0,03;0,70;0,39;0,93;2,52;4,88;1,39;-1,94
8;-0,02;0,35;0,29;0,40;-0,99;0,33;-0,70;0,39;1,25;0,79;0,19;-0,63
10;0,51;0,42;-0,15;0,43;0,39;0,42;1,20;0,46;1,37;2,09;0,36;-1,53
12;0,66;0,55;1,47;0,58;-0,06;0,57;-0,02;0,50;1,61;2,53;0,44;-1,57
19;1,20;0,39;0,14;0,45;0,75;0,38;0,92;0,40;1,69;1,50;0,25;-0,89
21;1,73;1,03;1,26;1,00;2,35;1,24;0,74;0,99;3,26;5,57;1,46;-1,71
22;1,11;0,79;0,94;0,71;0,33;0,63;-0,48;0,67;1,57;4,02;0,90;-2,57
23;1,22;0,50;0,42;0,62;0,44;0,59;0,91;0,63;1,64;3,61;0,52;-2,20
25;0,27;0,93;2,39;1,30;1,54;0,91;-0,61;0,99;2,92;5,34;1,50;-1,83
27;0,61;0,38;-0,39;0,41;0,24;0,40;1,13;0,40;1,36;-0,62;0,21;0,45
28;0,24;0,43;-0,31;0,43;1,17;0,40;1,01;0,45;1,59;-1,33;0,26;0,83
29;0,70;0,43;-0,71;0,46;0,39;0,47;0,92;0,43;1,41;-2,07;0,32;1,47
30;1,40;0,50;0,30;0,50;1,31;0,47;0,90;0,48;2,14;1,38;0,27;-0,65
32;0,96;0,36;0,38;0,41;0,86;0,40;0,47;0,39;1,42;1,62;0,24;-1,14
33;2,50;1,33;1,91;1,21;0,49;0,92;1,00;0,91;3,34;6,07;1,78;-1,82
35;1,60;0,47;0,20;0,47;-0,13;0,42;0,61;0,49;1,73;2,43;0,37;-1,41
37;0,62;0,30;0,05;0,31;0,22;0,28;0,77;0,28;1,01;-0,36;0,17;0,36
38;1,16;0,44;0,04;0,49;1,60;0,47;0,39;0,48;2,01;0,73;0,24;-0,36
40;0,82;0,29;0,11;0,34;0,06;0,28;0,68;0,29;1,07;-0,15;0,18;0,14
43;0,84;0,53;0,42;0,69;-0,35;0,78;0,75;0,84;1,25;-4,36;0,91;3,48
45;0,68;0,75;1,11;0,76;0,60;0,70;-0,21;0,74;1,45;4,44;0,72;-3,06
46;0,70;0,40;0,59;0,46;1,40;0,45;0,83;0,41;1,87;1,23;0,25;-0,66
47;1,37;1,28;1,51;1,01;0,21;0,86;0,14;1,09;2,05;5,40;1,38;-2,63
48;1,89;0,58;0,73;0,59;0,81;0,54;0,72;0,62;2,30;3,12;0,50;-1,36
52;0,82;0,38;0,63;0,44;1,14;0,43;0,24;0,39;1,56;1,82;0,27;-1,17
55;1,09;0,41;0,14;0,42;0,14;0,38;0,99;0,40;1,49;1,52;0,27;-1,02
56;2,57;1,28;1,03;1,35;0,66;1,14;0,84;1,16;2,97;6,78;2,46;-2,28
57;-1,98;0,97;2,04;1,07;-0,26;0,81;1,63;0,98;3,29;-3,05;0,91;0,93
59;-0,55;0,59;0,27;0,73;2,00;0,91;-0,18;0,65;2,10;3,94;0,99;-1,88
60;-1,30;1,00;0,20;1,19;0,22;1,00;2,03;1,53;2,43;5,74;2,17;-2,36
61;-0,86;0,41;0,62;0,49;0,79;0,42;0,90;0,43;1,60;0,40;0,20;-0,25
64;-0,51;0,82;0,47;1,10;2,08;1,01;-0,34;1,29;2,22;5,59;1,34;-2,52
65;-1,00;1,05;0,86;1,46;2,58;1,92;0,19;1,28;2,90;6,71;2,89;-2,31
66;0,73;0,79;0,06;1,13;1,56;1,05;0,31;0,72;1,75;5,02;1,28;-2,87
69;-0,25;0,34;0,19;0,40;-0,97;0,31;0,30;0,34;1,06;1,10;0,24;-1,04
70;-0,29;0,30;0,48;0,35;0,63;0,31;0,51;0,32;0,99;-0,57;0,20;0,58
71;-0,31;0,45;0,79;0,47;-0,15;0,44;1,01;0,45;1,33;2,28;0,32;-1,72
74;-1,14;0,56;1,18;0,65;-0,36;0,54;1,29;0,65;2,12;-1,77;0,36;0,84
75;-0,35;0,31;0,79;0,35;-0,33;0,31;0,43;0,35;1,02;0,53;0,17;-0,52
